Index,Date,Closing Price
IBEX 35,2020-01-31,"9,367.90"
IBEX 35,2020-02-03,"9,404.70"
IBEX 35,2020-02-04,"9,562.90"
IBEX 35,2020-02-05,"9,717.80"
IBEX 35,2020-02-06,"9,811.30"
IBEX 35,2020-02-07,"9,811.00"
IBEX 35,2020-02-10,"9,816.00"
IBEX 35,2020-02-11,"9,882.60"
IBEX 35,2020-02-12,"9,940.40"
IBEX 35,2020-02-13,"9,909.80"
IBEX 35,2020-02-14,"9,956.80"
IBEX 35,2020-02-17,"10,022.20"
IBEX 35,2020-02-18,"10,005.80"
IBEX 35,2020-02-19,"10,083.60"
IBEX 35,2020-02-20,"9,931.00"
IBEX 35,2020-02-21,"9,886.20"
IBEX 35,2020-02-24,"9,483.50"
IBEX 35,2020-02-25,"9,250.80"
IBEX 35,2020-02-26,"9,316.80"
IBEX 35,2020-02-27,"8,985.90"
IBEX 35,2020-02-28,"8,723.20"
IBEX 35,2020-03-02,"8,741.50"
IBEX 35,2020-03-03,"8,811.60"
IBEX 35,2020-03-04,"8,910.00"
IBEX 35,2020-03-05,"8,683.00"
IBEX 35,2020-03-06,"8,375.60"
IBEX 35,2020-03-09,"7,708.70"
IBEX 35,2020-03-10,"7,461.50"
IBEX 35,2020-03-11,"7,436.40"
IBEX 35,2020-03-12,"6,390.90"
IBEX 35,2020-03-13,"6,629.60"
IBEX 35,2020-03-16,"6,107.20"
IBEX 35,2020-03-17,"6,498.50"
IBEX 35,2020-03-18,"6,274.80"
IBEX 35,2020-03-19,"6,395.80"
IBEX 35,2020-03-20,"6,443.30"
IBEX 35,2020-03-23,"6,230.20"
IBEX 35,2020-03-24,"6,717.30"
IBEX 35,2020-03-25,"6,942.40"
IBEX 35,2020-03-26,"7,033.20"
IBEX 35,2020-03-27,"6,777.90"
IBEX 35,2020-03-30,"6,659.90"
IBEX 35,2020-03-31,"6,785.40"
IBEX 35,2020-04-01,"6,579.40"
IBEX 35,2020-04-02,"6,574.10"
IBEX 35,2020-04-03,"6,581.60"
IBEX 35,2020-04-06,"6,844.30"
IBEX 35,2020-04-07,"7,002.00"
IBEX 35,2020-04-08,"6,951.80"
IBEX 35,2020-04-09,"7,070.60"
IBEX 35,2020-04-14,"7,108.60"
IBEX 35,2020-04-15,"6,839.50"
IBEX 35,2020-04-16,"6,763.40"
IBEX 35,2020-04-17,"6,875.80"
IBEX 35,2020-04-20,"6,831.50"
IBEX 35,2020-04-21,"6,634.90"
IBEX 35,2020-04-22,"6,719.80"
IBEX 35,2020-04-23,"6,746.50"
IBEX 35,2020-04-24,"6,613.90"
IBEX 35,2020-04-27,"6,731.80"
IBEX 35,2020-04-28,"6,836.40"
IBEX 35,2020-04-29,"7,055.70"
IBEX 35,2020-04-30,"6,922.30"
IBEX 35,2020-05-04,"6,673.30"
IBEX 35,2020-05-05,"6,747.70"
IBEX 35,2020-05-06,"6,671.70"
IBEX 35,2020-05-07,"6,730.90"
IBEX 35,2020-05-08,"6,783.10"
IBEX 35,2020-05-11,"6,672.20"
IBEX 35,2020-05-12,"6,762.70"
IBEX 35,2020-05-13,"6,631.40"
IBEX 35,2020-05-14,"6,545.60"
IBEX 35,2020-05-15,"6,474.90"
IBEX 35,2020-05-18,"6,779.30"
IBEX 35,2020-05-19,"6,609.10"
IBEX 35,2020-05-20,"6,683.60"
IBEX 35,2020-05-21,"6,686.10"
IBEX 35,2020-05-22,"6,697.50"
IBEX 35,2020-05-25,"6,856.80"
IBEX 35,2020-05-26,"7,003.90"
IBEX 35,2020-05-27,"7,174.50"
IBEX 35,2020-05-28,"7,224.10"
IBEX 35,2020-05-29,"7,096.50"
IBEX 35,2020-06-01,"7,221.40"
IBEX 35,2020-06-02,"7,408.10"
IBEX 35,2020-06-03,"7,626.40"
IBEX 35,2020-06-04,"7,566.80"
OMXS30,2020-01-02,"1,808.63"
OMXS30,2020-01-03,"1,785.23"
OMXS30,2020-01-07,"1,796.85"
OMXS30,2020-01-08,"1,795.41"
OMXS30,2020-01-09,"1,796.73"
OMXS30,2020-01-10,"1,784.97"
OMXS30,2020-01-13,"1,790.51"
OMXS30,2020-01-14,"1,792.90"
OMXS30,2020-01-15,"1,787.29"
OMXS30,2020-01-16,"1,812.30"
OMXS30,2020-01-17,"1,825.94"
OMXS30,2020-01-20,"1,821.29"
OMXS30,2020-01-21,"1,825.62"
OMXS30,2020-01-22,"1,811.76"
OMXS30,2020-01-23,"1,795.43"
OMXS30,2020-01-24,"1,812.85"
OMXS30,2020-01-27,"1,771.48"
OMXS30,2020-01-28,"1,786.35"
OMXS30,2020-01-29,"1,791.67"
OMXS30,2020-01-30,"1,787.96"
OMXS30,2020-01-31,"1,783.26"
OMXS30,2020-02-03,"1,782.91"
OMXS30,2020-02-04,"1,821.04"
OMXS30,2020-02-05,"1,847.35"
OMXS30,2020-02-06,"1,851.95"
OMXS30,2020-02-07,"1,849.86"
OMXS30,2020-02-10,"1,858.00"
OMXS30,2020-02-11,"1,884.13"
OMXS30,2020-02-12,"1,889.75"
OMXS30,2020-02-13,"1,883.02"
OMXS30,2020-02-14,"1,885.62"
OMXS30,2020-02-17,"1,888.35"
OMXS30,2020-02-18,"1,878.79"
OMXS30,2020-02-19,"1,900.28"
OMXS30,2020-02-20,"1,898.93"
OMXS30,2020-02-21,"1,879.10"
OMXS30,2020-02-24,"1,798.20"
OMXS30,2020-02-25,"1,769.14"
OMXS30,2020-02-26,"1,782.10"
OMXS30,2020-02-27,"1,721.59"
OMXS30,2020-02-28,"1,668.84"
OMXS30,2020-03-02,"1,679.13"
OMXS30,2020-03-03,"1,694.56"
OMXS30,2020-03-04,"1,704.20"
OMXS30,2020-03-05,"1,683.19"
OMXS30,2020-03-06,"1,629.00"
